credit_score,monthly_income,dti_ratio,late_payments_6m,employment_months,approved
344,14558,0.5926182037033512,1,176,0
686,146379,0.7966451725376675,1,211,1
627,49079,0.03278184700620699,0,137,1
519,144557,0.1959355477291471,0,99,1
516,116399,0.4781925987068516,0,2,1
729,46917,0.332155562660211,0,147,1
342,98150,0.5100449652373144,3,218,1
648,15037,0.4691234665110286,0,34,0
400,142745,0.6303915743196076,1,59,1
347,66329,0.05672233611259676,3,126,1
563,81628,0.3524928559427587,0,128,1
787,38170,0.6880430317518403,2,102,1
667,78076,0.2902095242775693,1,36,1
680,83991,0.40303104421619634,1,116,1
658,51191,0.01726290103490662,1,121,1
693,196034,0.17933911606743883,2,45,1
556,61723,0.3709240972658773,3,146,1
364,42765,0.31917450101147493,2,208,1
719,113255,0.5717239015281144,0,21,1
525,69223,0.4895039852732356,0,20,1
550,95160,0.704226017731599,2,136,1
485,147221,0.6838165613579209,1,187,1
391,23018,0.19297587261304763,0,25,0
763,105763,0.014110983227096786,2,226,1
690,12162,0.6835766157630099,1,114,0
621,16434,0.2632966912840264,3,26,1
501,25764,0.27768776739248,3,107,1
711,39044,0.1267158385587793,0,104,1
572,75091,0.5544058129177862,3,94,1
521,187567,0.22408713468863584,3,140,1
525,181991,0.14139448084979495,2,59,1
413,27807,0.4027125928492626,2,237,1
346,198305,0.600332724737154,1,69,1
577,129937,0.21567887801997465,1,207,1
743,114309,0.5776312007910807,0,196,1
331,160126,0.36958008773685713,0,100,1
729,101012,0.3230181785912815,2,47,1
713,58964,0.2876166945089353,2,232,1
438,109694,0.1164647722555679,0,137,1
615,147214,0.26610701347938204,1,80,1
382,139076,0.7034012245019856,2,37,1
679,40619,0.08173353957764694,0,82,1
650,188123,0.7666400120814423,0,156,1
477,62672,0.08599722199025434,3,121,1
333,165434,0.28962531383948303,1,16,1
785,67869,0.4850449390404354,1,187,1
522,20174,0.670273122886519,0,77,1
746,199315,0.11486625445920318,0,46,1
638,121046,0.1128817792467455,2,168,1
689,49197,0.5027024997293806,1,178,1
679,8062,0.23419730592382237,1,197,1
397,32807,0.5156016776143924,0,1,0
481,40618,0.6564665623436247,3,93,0
533,185732,0.06149640879003604,3,63,1
548,41984,0.6755952984622261,1,139,0
321,39090,0.030068285083553106,0,233,1
573,168858,0.7190609482310504,3,29,0
377,176821,0.7804945132800254,2,157,1
671,48124,0.5339641619686261,3,107,1
641,132887,0.7874042439553391,2,111,1
761,110613,0.6575934737028831,3,226,1
672,118757,0.03549240010705033,0,175,1
483,67774,0.003048755361973488,2,23,1
783,152257,0.01663879153781247,1,105,1
505,177148,0.36152556793550455,3,178,1
462,147391,0.4987060888941315,2,26,1
752,181406,0.38517745816042326,2,121,1
485,29221,0.5417042606516497,3,119,0
338,134154,0.3596821072903029,2,18,1
534,199897,0.03405104248831092,2,229,1
697,110849,0.18093336388081652,2,89,1
394,188842,0.7940993892837682,0,66,1
531,74888,0.27669107015893196,2,22,1
364,180145,0.2598125901957835,1,13,1
643,188249,0.12223363921533946,0,47,1
537,127479,0.7897149776951677,1,178,1
465,143281,0.184367457274079,1,65,1
413,108375,0.5174612538030827,1,109,1
582,68856,0.03363796652175628,1,159,1
634,110965,0.05317786405068414,3,80,1
770,192787,0.5734013578560149,3,98,1
518,10867,0.5081345302773794,0,117,0
380,47376,0.5441299164965243,1,217,1
716,103898,0.18477632571701763,1,223,1
614,73167,0.7879111860177926,3,70,1
650,127763,0.44670012972659645,1,60,1
348,77226,0.7756385378149508,2,97,0
456,134471,0.13133644238030415,0,48,1
683,28414,0.3240796078730239,2,136,1
716,71770,0.26854841519076944,1,128,1
517,141019,0.60405994136469,3,112,1
702,98486,0.598057148884073,0,111,1
720,145025,0.3892350346557627,1,206,1
493,130171,0.012918403373869049,3,36,0
749,71071,0.1401645673439556,0,184,1
444,90234,0.04021253368773108,1,139,1
419,193221,0.6776116553993431,1,190,1
641,192729,0.2318172538382137,2,138,1
618,14831,0.09433810952053855,0,185,1
369,143444,0.2833378922252729,2,145,1
716,102267,0.06183145293309016,3,171,1
